"","V1","V2","bindtext"
"t_title550","柯護母：替國家社會做事 不要說誰欠誰","2018-05-12 13:05"," 柯文哲上午參加綠能嘉年華活動。記者楊正海/攝影分享  facebook    台北市長柯文哲向聽到兩岸一家親感到不舒服的人說抱歉，風波未息，柯文哲上午參加綠能嘉年華活動受訪表示，他覺得奇怪，他講的話也沒有什麼問題，「聽了不爽我只能說歹勢」，他講的滿自然的，沒想到媒體砲轟得一塌糊塗，他現在都還不知道是什麼事。 柯媽前晚在政論節目提到互不相欠，昨天又強調不敢跟蔡總統嗆聲，柯文哲說，講這樣也不對，不管是替國家或社會做事，不要說誰欠誰，講這樣不是加分，反而是扣分。 至於雙城論壇是否停辦？柯說該辦還是要辦，是時間問題 ，要辦要先準備，但現在對方還沒派人來。 另外，民進黨過半議員認為應該自提人選，是否有持續溝通，柯文哲認為，其實議員大多數是尊重黨中央的意見，媒體反問，但黨內部認為應自提人選的意見比較多？柯說，這是台灣的政治問題，被不到6%的人綁架，這也是個很有趣的現象，不管深藍或深綠，都在綁架台灣的政治。 媒體追問這6%是指民進黨的議員嗎？柯說，意識型態比較強烈的人，比較會打電話到服務處去抗議表達意見，大多數的是比較不出聲。 柯文哲感嘆，初選階段，政治往兩極移動，但明明大多數人在中間；一般國家的兩黨政治，衝突不會這麼多，像美國的民主、共和兩黨，差異性、對立不會這麼嚴重。 "
"t_title551","雙城論壇 海協會：盼在正確基礎上持續","2018-05-11 23:53"," 新任大陸海協會長、前國台辦主任張志軍指出，希望雙城論壇能在正確基礎上，持續向前推進。 特派記者林庭瑤／攝影分享  facebook    台北市長柯文哲日前受訪提及「（兩岸）床頭吵床尾和」是失言，還為 「兩岸一家親」造成大家聽了不爽感到抱歉，台北市政府隨後緊急澄清，但外界關注柯文哲的發言是否影響今年滬台雙城論壇續辦。新任大陸海協會長、前國台辦主任張志軍昨天受訪指出，希望雙城論壇能在正確基礎上，持續向前推進。 張志軍昨天前往大陸全國台企聯辦公室視察，並與台商會長們話家常。面對台媒詢問，柯文哲對「兩岸一家親」、「床頭吵床尾和」等言論向不滿民眾道歉，是否影響今年雙城論壇舉辦？張志軍表示，他看到許多媒體報導，以海協會長的立場來說，他希望雙城論壇能在正確基礎上，持續向前推進。 張志軍說，柯文哲也「做了些表態，最近也做了些澄清」，國台辦發言人也做了回應，不過雙城論壇的舉辦，還得由上海、台北雙方去商談。  台媒追問柯文哲的發言是不是「牆頭草」，張志軍表示，他個人跟柯見過一面，沒有太多評論，只是覺得兩岸關係、城市交流應秉持正確態度，雙城論壇才能繼續推進。 "
"t_title552","柯媽嗆不相欠 姚文智：欠不欠誰理你","2018-05-11 14:31"," 欲參選台北市長的民進黨立委姚文智。 記者杜建重／攝影分享  facebook   民進黨基層反彈台北市長柯文哲兩岸言論，要求自提人選出征台北市選戰。柯文哲媽媽何瑞英昨晚接受政論節目連線時表示，希望不要讓蔡英文總統為難，而若民進黨提名，以後雙方互不相欠。  對此，欲參選台北市長的民進黨立委姚文智話今天重話批評柯文哲，並反問柯文哲「欠不欠？誰理你」「自己都沒辦法把自己的話說清楚，還要勞駕別人，憑什麼當台北市的大家長？」 姚文智表示，大家不要再為難老人家。柯市長都60歲的人了，他說了什麼，或怎樣的政治作為，坦白說，好漢做事好漢當。柯媽媽護子心切，大家都可以理解，她是一個好媽媽，但是，社會不要太為難她，在她的話裡面做文章。參與政治的人，大家都對自己負責，自己的中心信念，自己的政策，自己講過的話負責，應該沒有人可以代替你。 姚文智表示，市民最關切的是台北市政到底做得好不好、需要怎樣的市長，台灣價值也是所衍生的政策、方向、願景，能否帶給市民真正的需要，「欠不欠，坦白說，誰理你？沒有人理你欠不欠。」 姚文智說，柯文哲在綠色和平受訪說了一些話，好像對「兩岸一家親」論述表達一些態度，但事後的更正有多快、反覆有多快，急於對某些人澄清，那個速度好像很怕愛人跑掉，很不可思議，柯對台灣價值漫不經心、棄如敝屣，大家可以評斷。 媒體問對於兩岸一家親，柯文哲是否講清楚，還只是圓謊，姚文智指出，他觀察到，大家要求柯把台灣價值表達清楚，但柯不以為意，可是昨天柯對自己講太快的更正，急於對某些人澄清，那個速度好像很怕愛人跑掉，很不可思議。 台北市長柯文哲今早出席活動受訪則說，這沒有什麼誰欠誰，反正都是替國家做事。柯文哲表示，「我會叫她不要隨便上節目。」 柯文哲在廣播電台為兩岸一家親抱歉後，有媒體也製作民調，顯示有8成民眾不想投柯。對此，柯文哲只表示，每個民調就是「參考參考」，若每天看民調他早就發瘋了。 對於如今藍綠都不討好、中間選民認為柯失去白色價值，還有民進黨籍里長稱黨再禮讓柯就退黨。柯文哲說，他只能把該做的事情做好，他還是沒有變，台灣社會藍綠對抗太嚴重；其實台灣真的有強烈政黨意識的，他看加起來不到5、6%；「怎麼做都會有不滿意，那也沒辦法。」 "
"t_title553","政見喊20年只立一個樁…萬年「選票提款機」 這次還信？",NA," 位在中興新村光華國小圍牆外一座「台中捷運」的測設樁，省政府在二十幾年前敲定了。記者張家樂／攝影　facebook   每到選舉，候選人都會洋洋灑灑提出一堆政見，為獲得支持，政見都是「投選民所好」，知道選民想要什麼，就統統列在政見裡。但令選民疑惑的是，有些建設政見像跳針似，每次選舉都被拿出來，而且上自總統、縣市長下至鄉鎮民代表、村里長，政見都一樣。   「萬年」政見，有的在多年後終於推動 ，有的則至今仍停留在政見階段。今年是選舉年，選民可能又要聽到不少「耳熟能詳」的政見。     行政院長賴清德今年1月到彰化縣府參加落實前瞻基礎建設暨長照業務座談會，承諾彰化鐵路高架化一定要做。 圖／聯合報系資料照片facebook  每回選舉，中彰投都有固定熱門話題政見，台中市從議員、立委、市長到總統選舉都提「恢復中橫通車」，但一直沒有結論；「彰化鐵路高架化」則是彰化縣的選舉話題。至於精省後中興新村往何處去？台中捷運延到南投，也被候選人談了20幾年。  4年前，李文忠競選南投縣長，在民進黨主席蔡英文陪同下，宣布台中捷運要延到南投。4年快過了，最近的中彰投苗首長會議，還在討論「中捷藍線」延到南投。每回選舉，就有候選人大談中捷進南投，但選完，一切就沒了。    對中興新村的未來，候選人各有主張，有人建議興建青年住宅，有人建議蓋社會住宅。記者張家樂／攝影facebook  南投縣副縣長陳正昇說，早在宋楚瑜當省長時，中捷進南投就已定案，中興新村光華國小旁的測設樁，就是明證。精省20年了，還停留在選舉話題，真是沒進步。  精省後，中興新村曾被定位為大學城、國際會展中心，但沒有一樣實現。最近藍綠南投縣長候選人，都提出中興新村蓋青年住宅的主張，在地居民都覺得好笑，「每次選舉就拿中興新村來騙選票」。一名南投縣議員調侃說，若行政院長賴清德真把中央部會遷到中興新村，日後要參選的人恐怕要煩惱了，因為得另外再找去新政見。    中橫公路通車是台中山城人的願望，每次大小選舉總會被提及。圖／聯合報系資料照片facebook  民國88年921大地震重創中橫公路，一路重建，花22億修復，卻在民國92年預定7月通車典禮前夕，敏督利颱風帶來72水災，再度摧毀中橫谷關到德基段。每次選舉，候選人一定大聲疾呼「恢復中橫通車」，前總統陳水扁、馬英九也如此，市長、市議員選舉也是重要政見。  中橫公路目前正在加強明隧道等工程，保障用路人安全。圖／聯合報系資料照片facebook  在藍綠分別使力下，在安全強化方面，目前還剩下3項明隧道及橋梁邊坡防護工程，預計今年6月到7月初完工。公路總局表示在安全評估無虞狀況下，將著手開放中型巴士通行，目前陸續進行評估、現勘，5月中下旬實車模擬蒐集資料，6月提期中報告，9月期末報告，台中市政府希望趕在今年底前通車，了結這項「共同」政見。    懸宕20年的「彰化鐵路高架化」，也是每次選舉時就被拿出來談，行政院長賴清德今年初到彰化說「彰化鐵路高架化絕對要做」，讓387億高架化經費似乎已拍板定案，但除了經費，後頭還有環評，當地居民都希望這次不再是選舉話題。  彰化縣議員林世賢最近問縣長魏明谷，敢不敢打包票說「鐵路高架化如果選後沒做，縣長要辭職？」魏明谷說，行政院長既然說要做就會做，且計劃也都擬出，在排審查時間了，請大家相信，彰化鐵路高架化這次是玩真的。    松山機場遷建，是多位台北市長「共同」政見 。圖／聯合報系資料照片facebook  台北松山機場在台北都市擴張後，搬遷的主張從1998年開始就被候選人列為政見，提出者藍綠都有，大多在馬英九、郝龍斌、陳水扁、李應元及謝長廷選台北市長時。台北市長柯文哲上次參選也主張遷移，現在藍綠丁守中、姚文智及無黨籍李錫錕也持相近看法。  但松機涉及國安，根本非台北市長能決定。將以無黨籍參選台北市長的邱文祥曾當過台北市副市長，他說，廢松機是假議題，請先問總統府和國防部。另一無黨籍蘇煥智也表示，松機涉及國安，應請國防部評估是否可能遷移；並說市長一任4年，決策從形成到執行，不可能在4年內做到。    桃園捷運棕線高架化爭議，近日地方商家串連拉起布條反對。圖／聯合報系資料照片facebook  桃園航空城、鐵路地下化與桃園捷運綠線、棕線被視為桃園重大建設指標，但喊了好幾年仍看不到實際進展，航空城甚至被酸是「喊空城」，今年底大選將屆，勢必又將成為政見焦點。其中，航空城是前副總統呂秀蓮選桃園縣補選縣長時提出，後來朱立倫、吳志揚到鄭文燦逾20年，今年3月才獲內政部都市計畫委員會審議通過。   捷運棕線可行性研究報告規畫為全線高架化，地方反彈，沿線商家串連掛布條，反對萬壽路營運高架接駁車，恐影響店家生計，要求市長下鄉傾聽民意，「嘜騙龜山人選票」。市長鄭文燦反駁說，有議員謠傳捷運棕線在縣府時代採取地下化設計，到市府時代才改為高架，事實上棕線一直都是高架化版本，有心人士不該顛倒是非造成地方誤解。"
"t_title554","安排柯文哲專訪惹風波？陳景峻：我覺得很好","2018-05-10 16:40"," 台北市長柯文哲為兩岸一家親道歉，引發爭議，安排柯接受電台專訪的副市長陳景峻下午受訪，媒體問他專訪成功嗎？陳景峻說，「我覺得很好」，起碼執政聯盟的概念，不要讓中央覺得柯一直炮打中央，今天蔡總統也回應了執政聯盟的概念。 媒體問綠基層的反應，陳景峻也說，很好，可以說服市長去受訪，「基層都給我肯定」。至於其他團隊成員間是否有拉扯、不同意見，陳說，沒有，他是就事論事，扮好自己角色。 陳景峻指出，他是民進黨籍，也是任命的副市長，工作2年，現在執政是民進黨，他希望地方中央相互合作，國家整體建設才能穩健發展，這是他的期盼，柯認真做事，但一些論述沒有辦法得到大家完全的理解，希望能透過專訪把問題講清楚，避免誤會。 對於外界認為柯已不是白色力量，只是插著民進黨黨徽的人，陳景峻說，他一直是白色力量，中性處理市政建設 ，該做的就做。 陳景峻表示，不要有黨的考量，首都市長應在市政上不要分藍綠，媒體追問，是否有綠營大老從中安排，陳說，這完全他自己的想法，在心中想了很久，蘊釀一段時間，他是白綠之間的橋梁，行政院會都是他去，參加世大運 也是柯市長指示他去請中央協助。 至於這次專訪敲定行程，花了多久時間？陳只說，他是隨時都在提醒柯，因為他認為外界有誤解，他都會去扮演這個中間角色。 至於柯的道歉，改口變成只是「歹勢」，被指態度反覆；陳說，沒有，這有錄音，柯從沒有改變，媒體問陳，柯是否變民進黨自己人，他說，不會管這個。地方中央能夠合作，柯不要受誤解就好。 媒體追問他說服柯文哲專訪的關鍵，陳景峻說，他認為最近代表市長去跑行程，基層的聲音都是誤會，他有跟市長講，認為中央地方要合作，不要產生誤會，用政策對話，不要用政治對話。 至於基層是否有化解誤會，陳說，各方有不同解讀，但市長應該講的已經講清楚。台灣這個社會，做得再好、講得再清楚，都會被人懷疑有動機，永遠互相猜忌這很不好，柯市長只要表現態度真誠就夠了。至於會不會禮讓，這是選對會決定。 外傳柯被施壓，陳景峻不認為黨中央會給市長壓力，柯是外科出身抗壓性高，不會接受他不願做的事，柯是想為地方和國家做事，對的事就去做，就這麼單純，這次專訪次把誤會、立場、態度、心意一次講清楚就好，其他回歸市政把事做好，這才能證明得到人民肯定。安排柯文哲專訪，陳景峻說「我覺得很好」。記者楊正海／攝影分享  facebook   "
"t_title555","柯文哲：兩岸一家親基調不會變","2018-05-10 11:56","  台北市長柯文哲上午出席「107母親節活動暨定點臨托政策開跑活動」，針對昨天接受電台訪問時，先對「兩岸一家親」說法道歉，隨後又更正指他是向聽到「兩岸一家親」感到不高興的民眾致歉等提出回應。 柯文哲表示，兩岸一家親基調不會變，兩岸還是要減少緊張、減少衝突，「這樣的僵局有什麼好處？」。台北市長柯文哲表示，兩岸一家親基調不會變。記者胡經周／攝影分享  facebook   "
"t_title556","柯文哲表態挺小英 陳芳明：起風了 北市長選戰正式開始","2018-05-10 08:51"," 台北市長柯文哲接受綠色和平廣播電台專訪，被問及兩岸一家親、床頭吵床尾和等言論不斷被外界批評時，柯文哲說，當時是為了降低中國大陸對世大運的阻撓，所以維持兩年前論調，「有時候講話快了點，但大家聽了就不爽，只能說抱歉歹勢」。他並表態挺蔡英文總統連任。對此，作家陳芳明表示，「起風了，台北市長選戰正式開始」。 陳芳明在臉書表示，柯文哲終於表態「不應該說兩岸一家親」。只是這樣一句話，立刻牽動了藍綠白的選戰形勢，今年台北市長的角逐，一定精彩，我們繼續看下去。台北市長柯文哲接受綠色和平廣播電台專訪，被問及兩岸一家親、床頭吵床尾和等言論不斷被外界批評時，柯文哲說，當時是為了降低中國大陸對世大運的阻撓，所以維持兩年前論調，「有時候講話快了點，但大家聽了就不爽，只能說抱歉歹勢」。聯合報系資料照分享  facebook     domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v487"";var actCode = ""v487"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});"
"t_title557","印尼特使捐20萬美元 助北市弱勢","2018-05-09 21:12"," 印尼總統對台灣投資事務特使翁俊民今天獲頒台北市榮譽市民狀，在頒發儀式上，翁俊民宣布捐贈20萬美元（約新台幣600萬元）給台北市政府社會局，幫助弱勢族群。 社會局發布新聞稿指出，市長柯文哲今天頒發榮譽市民狀給翁俊民，感謝翁俊民積極推動台灣與印尼間的城市國際交流。 社會局表示，翁俊民為印尼出生的第二代華人，長期關心台灣事務，積極響應台灣的新南向政策，致力推動台灣與印尼在產業、教育、觀光、醫療等方面合作，促進雙邊關係。 柯文哲在儀式上感謝翁俊民的協助，盼望翁俊民成為榮譽市民後，可以給予台北市與印尼相關城市經貿投資、產業互動、教育合作等面向的建言，並協助宣傳台北市。 社會局社會救助科科長蕭舒云告訴中央社記者，翁俊民近年來將心力投注於慈善工作，在印尼也成立慈善基金會，因此希望藉由捐款給社會局，就低收入家庭子女教育和就業議題，與市府合作。 蕭舒云說，社會局會與翁俊民指定的聯繫窗口討論，決定如何在維持低收入家庭基本生活之外，將這筆捐款運用於協助低收入家庭子女脫貧的措施上。"
"t_title558","嫌柯文哲沒誠意 梁文傑：民進黨可不是陳佩琪","2018-05-09 16:43","  民進黨是否禮讓台北市長柯文哲，近日來進入關鍵期，為了爭取綠營支持，柯文哲昨安排接受綠色和平廣播電台專訪，希望化解綠營基層誤解。不過民進黨籍台北市議員梁文傑今在臉書上表示，「民進黨可不是陳佩琪(柯文哲的太太)」，「求婚」沒有誠意是不可以了，如果民進黨真的認為就算民進黨提人他也能當選，那也只能像柯文哲最崇拜的毛澤東常說的，「天要下雨，娘要嫁人，隨他去吧」。 梁文傑說，民進黨這麼大的黨，本來就不該在首都市長選戰中缺席，提名自己人才是正常的做法。柯文哲是要連任的市長，他如果覺得獲得民進黨支持對他比較有利，就應該拜託民進黨不要提名，並提出民進黨應該和他合作的理由，也要認真解釋民進黨群眾對他的質疑。 梁文傑說，簡單說，柯文哲的角色是求婚者，民進黨是被求婚者。主動提親下聘的應該是柯文哲而不是民進黨。 梁文傑表示，然而柯文哲到現在為止給民進黨的說法，都是「我希望能夠合作就合作，不然你要自己提名我也沒辦法」。這就像交往中的男女，男方如果對女方說，「我希望能夠結婚就結婚，不然你要去嫁別人我也沒辦法」。有沒有誠意，正常人都聽得懂。 梁文傑也酸，也許柯文哲以前就是這樣求婚成功的，但民進黨可不是陳佩琪。 梁文傑表示，有人說要柯文哲去拜託民進黨不是很沒尊嚴？那我說，是他要選連任，那就要自己努力去克服障礙。我選舉也要到處拜託，他為什麼不用？ 梁文傑強調，柯文哲如果真想尋求民進黨合作，這種「要不要隨你」的態度是不可能的，民進黨也不能熱臉去貼冷屁股。就算誰都知道合則兩利分則兩害，也只能如此了。民進黨籍台北市議員梁文傑今在臉書上表示，「民進黨可不是陳佩琪(柯文哲的太太)」，「求婚」沒有誠意是不可以的。圖／取自梁文傑臉書分享  facebook   "
"t_title559","柯文哲上綠色電台 急爭取「柯綠合作」","2018-05-09 00:25"," 台北市長柯文哲說，自己不是怕小英，只是想表達能夠合作還是合作。 記者林俊良／攝影分享  facebook    民進黨不禮讓台北市長柯文哲的聲浪越來越大，柯文哲昨晚緊急安排接受「綠色和平電台」預錄專訪，希望化解綠營基層對於兩岸論述、台灣價值等疑慮，重新爭取「柯綠合作」空間。民進黨台北市黨部主委黃承國表示，選對會已啟動徵詢程序，一切照時程走。 媒體昨追問，柯是怕蔡英文總統什麼？柯文哲說，自己不是怕蔡英文，只是想表達能夠合作還是合作。 據了解，柯文哲昨天接受親綠電台專訪，專訪內容預計今天播出；市府事先已透過管道告知總統府人士，雙方有一定默契，市府幕僚也有擬定說詞，讓柯不會「脫稿演出」。 綠營反柯聲浪高漲，柯文哲不僅指派民進黨籍副市長陳景峻洽談民進黨高層，傳達自己無意和民進黨「撕破臉」，不管是推不推人、要不要合作，都可以談；另一方面，也火速安排親綠電台專訪，有意釐清過去幾個爭議問題。 至於「兩岸一家親」言論是否會轉彎？市府幕僚表示，說出來的話就像射出來的箭，不可能再轉彎，但會說明當初講話的時空背景，希望大家能夠諒解。 【記者楊正海、邱瓊玉／台北報導】台北市長柯文哲未表態反對深澳電廠，國民黨台北市長參選人丁守中昨天說，柯文哲怯懦不表態，完全是為了個人選舉利益考量。北市府發言人劉奕霆表示，柯認為應提供更多資訊以利判斷，而非單純支持或反對，以務實態度面對專業問題，政治口水無助解決問題。 "
"t_title560","丁守中拜會吳敦義 國民黨：民進黨徵召賴清德機會大","2018-05-08 13:17"," 丁守中前往中央黨部拜會主席吳敦義請益。會中共識，若民進黨年底台北市長自提人選，行政院長賴清德才是最強人選。報系資料照分享  facebook    國民黨年底台北市長初選由前立委丁守中勝出，趕在明天中常會正式提名前。今上午丁守中前往中央黨部拜會主席吳敦義請益。會中與會者均有共識，若民進黨年底台北市長自提人選，行政院長賴清德才是最強人選。 與會人士轉述，吳敦義會中裁示，年底台北市長選戰對國民黨非常重要，丁守中一定要全力求勝，也要扮演稱職母雞，讓黨提名的33席市議員參選人全壘打。 此外，今天上午會談過程，丁守中也當面向吳敦義拜託，盼能承租中央黨黨部11樓間做為未來競選總部使用，並商借5樓會議室與1樓媒體中心做為未來總部運作使用，吳敦義也欣然同意。 只不過黨務人士表示，11、12樓空間有租金問題，誰負擔還要討論。至於1樓媒體中心，由於有常態使用需求，未來是否與丁守中競選總部合併也要再研究。 丁守中上周三從國民黨台北市長初選勝出後，即主動連繫吳敦義辦公室，盼會見吳敦義請益選戰事務，並爭取奧援，最後敲定今天上午10時30分在黨中央拜會。 上午吳敦義會見丁守中過程，除黨副主席曾永權中途才加入會談外，台北市黨部主委黃呂錦茹、黨主席辦公室主任郭昀光全程作陪，會談時間約50分鐘。 與會人士轉述，今天會談過程，除了彼此交心外，大多只是針對當前選情交換意見。會中，丁守中首先向吳敦義報告目前台北市長選戰籌備情形，暢談自己的政策想法，也主動表達後續會拜訪基層與黨內大老爭取支持。 吳敦義則提醒，現任無黨籍台北市長柯文哲施政表現上「有很多弱點」，丁守中做為國民黨將提名的台北市長參選人，要與民眾站在一起，鞏固基層，並在議題上穩穩發揮，沉著應戰爭取支持。吳也特別點名，「雙北議題」丁守中就可好好準備。 談到近來民進黨台北市長選舉自提人選態勢日益明朗，吳敦義也提醒丁守中「心理上要有準備」，民進黨若決定自提人選，一定會派出最強的戰將，「不可小覷」。黃呂錦茹直言，民進黨徵召賴清德機會大，吳敦義也點頭表示認同。 但吳敦義也說，雖現在中央到台北市都不是國民黨執政，但選戰中劣勢有劣勢打法。吳敦義點名，蔡英文政府施政沒有建樹，還做了很多不該做事，像重啟深澳電廠就造成北台灣空汙問題引發反彈，丁守中若能站在為市民著想角度走，選情仍可審慎樂觀。 丁守中則希望國民黨智庫能協助整理市政攻防議題，甚至希望能借將作戰，吳敦義也當場同意全力協助。"
"t_title561","北農買菜分享社福 7成送總座家鄉 北市議員喊撤換吳音寧","2018-05-07 23:49"," 北農買菜送家鄉，議員要求撤換北農總經理吳音寧（左2）。 圖／聯合報系資料照片分享  facebook    台北市議員王欣儀昨指出，北農休市後，2月底開市有近3000噸到貨量無法消化拍賣，北農買下超過9公噸殘貨轉贈社福團體，卻有超過7成蔬菜送北農總經理吳音寧的彰化家鄉社團；議員質疑公器私用，多人要求撤換吳音寧。 台北市長柯文哲昨說，他第一次聽到這件事情，會先給吳音寧說明，如果不對就罵一頓；至於撤換吳音寧，柯則說，會嚴肅討論。北市府市場處長許玄謀表示，根據北農解釋，因當天有生鮮食品滯留現場需馬上處理，現場剛好有彰化的車子，所以就載回去。 北農表示，原是不忍看到可食用蔬菜遭銷毀，同時也讓社福團體分享愛心，不料卻遭部分人士誤解，感到遺憾，後續將和食物銀行聯合會等團體商議，並和社福團體簽署合作意向書。 台北市議會昨邀請柯文哲專案報告，王欣儀指出，吳音寧動用總經理的業務推廣費，買了9000多公斤蔬菜送到10個社福單位，其中7000多公斤送到彰化溪州鄉，其中又以彰化溪州的水尾社區發展協會、大庄老人食堂獲贈最多。 由於吳音寧的表哥是溪州鄉長，台北市議員徐弘庭質疑，「這麼剛好」，表哥的車子就在那裡，是否會覺得怪怪的？柯文哲笑說，「世界上怪怪的事情常常發生」。 徐弘庭痛批，吳音寧看不懂財報是笨，把7000多公斤蔬菜送給溪州鄉的表哥就是壞，「一個又笨又壞的總經理，為什麼還要袒護她？」市府應提案要求撤換吳音寧，他的選舉看板將掛出「吳音寧不倒，柯文哲不會好」。 台北市副市長陳景峻說，市府股權結構就是這樣子，會研究提案的問題，並和中央反映。柯文哲則說，回去會嚴肅討論。 "
"t_title562","北農9噸果菜送吳音寧家鄉團體？柯P：如果不對就罵一頓","2018-05-07 12:44"," 台北市果菜批發市場今年春節休市5日，緊接著初九「天公生」又連休3天，2月27日開市雖延長交易，仍有近3千噸到貨量無法消化拍賣。北農買下其中9.12公噸殘貨，轉送社福團體，但議員王欣儀發現，逾7成蔬菜送回總經理吳音寧家鄉的團體，也就是溪洲溪的水尾社區發展協會，質疑總經理怎麼可以公器私用，私相收受。 對此，台北市長柯文哲今在議會備詢時也感到詫異，直言自己是第一次聽到這件事情，會先給吳音寧說明理由，看看是在搞什麼，如果不對就罵一頓。 不過台北市議員徐弘庭質疑，吳音寧看不懂財報，是笨，笨可以解決，但如今又把七千多公斤的蔬菜送給溪州鄉的表哥，這就是壞，一個又笨又壞的總經理，為什麼還要袒護她，這難道就是柯文哲的台灣價值嗎。 北市副市長陳景峻則強調，市長沒有放任，市長也曾要求自己對於北農總經理制度問題好好研究、好好處理。 徐弘庭強調，市府應該要提案撤換吳音寧，並揚言如果吳音寧不下台，自己到年底投票前的選舉看板，將掛出「吳音寧不倒，柯文哲不會好」，因為柯文哲如果不斬斷和民進黨的關係，就表示你心中還有勝負。 陳景峻則出面緩頰，指「沒有這麼嚴重啦」，市府股權結構就是這樣子，會研究這個問題(提案撤換)，並和中央做個反映。柯文哲則表示，回去會討論。北農總經理吳音寧。聯合報系資料照／記者曾吉松攝影分享  facebook   "
"t_title563","與藍綠正面對決北市長選戰？ 林昶佐：有自己的節奏","2018-05-07 09:55"," 民進黨選對會正式啟動台北市長徵召機制，今天將分別徵詢前副總統呂秀蓮、立委姚文智及前台南縣長蘇煥智等有意參選者，綠營是否禮讓柯文哲，近期內將明朗化，外界也好奇時代力量在藍綠台北市長候選人底定後，是否會參與選戰。 時代力量台北市黨部主委林昶佐表示，「時代力量的台北市布局有自己的策略與節奏，不必然與其他政黨提名隨之起舞」，對於台北市選戰一直以來都是以5席議員選舉為主，預計這兩週會正式公布剩下2席人選。 對於民進黨未來台北市長選戰佈局，林昶佐表示，他身為時代力量台北市黨部主委，不便介入民進黨的初選策略，尊重他們的規劃。 時代力量黨團總召徐永明表示，民進黨雖然近期內會決定台北市長提名人選，但未來程序如何，以及產生人選在選前會不會變動，都值得觀察。畢竟縣市首長選舉為單一席次，為避免票源分散，最後情勢逆轉，民進黨最後選擇和柯文哲整合也不一定。至於時力是否會投入縣市首長選戰，目前仍在客觀評估。 時代力量黨內人士分析，如果時代力量自提台北市長候選人，並提出民眾有感的政策，可能會出現母雞效果，對時力北市議員選情一定會有幫助，也可能與過去盟友民進黨及柯文哲正面交鋒，出現分散年輕族群票源情況。但若時力不提名，屆時可能會面臨選邊站局面。時代力量立委林昶佐。聯合報系資料照分享  facebook   "
